Account Id,Review Link,Tea Name,Aroma Rating,Flavor Rating,Value Rating,Total Rating,Brand,Style,Region,Caffeine,Loose Type,Product page
1,https://ratetea.com//review/4246/,Caravan Triad,10,5,4,97,Brooklyn Tea Blends,Russian Caravan,China,Caffeinated,Loose,http://www.amazon.com/Premium-Gentlemans-black-loose-full/dp/B00L3MG3KU/
1,https://ratetea.com//review/4054/,Brandy Oolong,10,5,5,97,Octavia Tea,Oolong Tea,"Fujian, China",Caffeinated,Loose,http://www.octaviatea.com/products/Brandy-Oolong-%28tin%29.html
1,https://ratetea.com//review/4047/,Keemun Congfu,10,5,4,97,Joseph Wesley Black Tea,Keemun,"Fujian, China",Caffeinated,Loose,http://josephwesleytea.com/collections/tea/products/span-05-span-keemun-congfu
1,https://ratetea.com//review/3427/,"Risheehat, Darjeeling Black Tea, First Flush 2014",10,5,5,97,Happy Earth Tea,Darjeeling First Flush,"Darjeeling, India",Caffeinated,Loose,http://happyearthtea.com/products/risheehat-organic-darjeeling-first-flush-2014
1,https://ratetea.com//review/3280/,Fengqing Wild Tree Yesheng Raw Pu-erh Tea Cake 2013,10,5,4,97,TeaVivre,Raw (Sheng) Pu-erh,"Fengqing, Yunnan, China",Caffeinated,Compressed,/tea/teavivre/fengqing-wild-tree-yesheng-raw-pu-erh-tea-cake-2013/7066/
1,https://ratetea.com//review/3136/,Hazelnut Herbal Coffee,10,4,5,97,Teeccino,Coffee Alternative / Substitute,Blend,Caffeine Free,Loose,http://teeccino.com/product/64/Hazelnut-11-oz-Bag.html
1,https://ratetea.com//review/3083/,Tsui Yu Jade Oolong Tea,10,5,5,97,Eco-Cha,Oolong Tea,"Nantou, Taiwan",Caffeinated,Loose,https://eco-cha.com/products/tsui-yu-jade-oolong-tea
1,https://ratetea.com//review/2902/,Nonpareil Taiwan Li Shan Oolong Tea,10,5,4,97,TeaVivre,Oolong Tea,"Taichung, Taiwan",Caffeinated,Loose,https://www.teavivre.com/nonpareil-taiwan-lishan-oolong-tea.html
1,https://ratetea.com//review/2562/,"Puttabong (Organic, Darjeeling First Flush 2013)",10,5,5,97,Happy Earth Tea,Darjeeling First Flush,"Darjeeling, India",Caffeinated,Loose,/tea/happy-earth/puttabong-organic-darjeeling-first-flush-2013/6642/
1,https://ratetea.com//review/2386/,Superfine Anxi Qing Xiang TieGuanYin Oolong Tea,10,5,5,97,TeaVivre,Tie Guan Yin,"Anxi, Fujian, China",Caffeinated,Loose,https://www.teavivre.com/superfine-anxi-tieguanyin-oolong-tea.html
1,https://ratetea.com//review/2230/,Organic Hangzhou Tian Mu Qing Ding Green Tea,10,5,5,97,TeaVivre,Green Tea,"Zhejiang, China",Caffeinated,Loose,https://www.teavivre.com/organic-tian-mu-qing-ding.html
1,https://ratetea.com//review/327/,Holy Basil Purple Leaf,9,5,5,97,Upton Tea Imports,Tulsi / Holy Basil,India,Caffeine Free,Loose,http://www.uptontea.com/tisanes-and-herbals/holy-basil-purple-leaf-organic/p/V00020/
1,https://ratetea.com//review/185/,Makaibari Estate Long Leaf Green (DJ-456),10,5,5,97,Upton Tea Imports,Darjeeling Green Tea,"Darjeeling, India",Caffeinated,Loose,/tea/upton/makaibari-long-leaf-green/1315/
1,https://ratetea.com//review/6892/,Rwanda OPA Rukeri,9,5,5,96,Simpson & Vail,Black Tea,Rwanda,Caffeinated,Loose,https://svtea.com/products/copy-of-rwanda-opa-rukeri
1,https://ratetea.com//review/6717/,"Yunnan ""Assamica Gold Needle"" Black Tea",9,5,5,96,Yunnan Sourcing,Yunnan Gold,"Simao, Yunnan, China",Caffeinated,Loose,https://yunnansourcing.com/products/yunnan-assamica-gold-needle-black-tea
1,https://ratetea.com//review/5563/,Rukeri Estate Rwanda BOP Organic,9,5,5,96,Upton Tea Imports,Black Tea,Rwanda,Caffeinated,Loose,http://www.uptontea.com/rwanda-black-tea/rukeri-estate-rwanda-bop-organic/p/V00221/
1,https://ratetea.com//review/5373/,Yunnan Silver Needles,9,5,4,96,Passenger Coffee,Silver Needle,"Yunnan, China",Caffeinated,Loose,/tea/passenger-coffee/yunnan-silver-needles/9028/
1,https://ratetea.com//review/6896/,Colombian Leafy Black Organic Tea,9,4,5,95,Simpson & Vail,Black Tea,Colombia,Caffeinated,Loose,https://svtea.com/products/copy-of-colombian-leafy-black-organic-tea
1,https://ratetea.com//review/6716/,"Jinggu ""Da Jin Ya"" Camellia Taliensis Black Tea",9,5,5,95,Yunnan Sourcing,Yunnan Gold,"Jinggu, Yunnan, China",Caffeinated,Loose,https://yunnansourcing.com/products/jinggu-da-jin-ya-camellia-taliensis-black-tea
1,https://ratetea.com//review/6190/,Traditional Process Dian Hong Black Tea of Feng Qing,10,5,5,95,Yunnan Sourcing,Yunnan Gold,"Fengqing, Yunnan, China",Caffeinated,Loose,https://yunnansourcing.com/products/traditional-process-dian-hong-black-tea-of-feng-qing
1,https://ratetea.com//review/5608/,Season's Pick Colombian Leafy Black Tea Organic,10,5,3,95,Upton Tea Imports,Black Tea,Colombia,Caffeinated,Loose,http://www.uptontea.com/colombian-black-tea/seasons-pick-colombian-leafy-black-tea-organic/p/V00634/
1,https://ratetea.com//review/4759/,Handcrafted Kenyan,9,5,5,95,Murchie's Tea & Coffee Ltd,Black Tea,Kenya,Caffeinated,Loose,http://www.murchies.com/store/handcrafted-kenya-tea.html
1,https://ratetea.com//review/3270/,2006 Fengqing Raw Pu-erh Tea Tuocha,9,5,5,95,TeaVivre,Raw (Sheng) Pu-erh,"Fengqing, Yunnan, China",Caffeinated,Compressed,https://www.teavivre.com/raw-puerh-tea-tuocha-100g.html
1,https://ratetea.com//review/1787/,Lu Ming Organic Oolong Competition Excellence Grade,9,5,5,95,Life in Teacup,Oolong Tea,"Nantou, Taiwan",Caffeinated,Loose,http://www.lifeinteacup.com/oolong/taiwan-1/other
1,https://ratetea.com//review/1371/,Hand-Processed Wuyi Shui Xian Grade I,10,5,4,95,Life in Teacup,Shui Hsien Oolong,"Wuyi, Fujian, China",Caffeinated,Loose,http://www.lifeinteacup.com/oolong/wuyi
1,https://ratetea.com//review/6669/,Bu Lang Mountain Black Tea from Menghai,9,5,5,94,Yunnan Sourcing,Yunnan Gold,"Menghai, Yunnan, China",Caffeinated,Loose,https://yunnansourcing.com/products/bu-lang-mountain-black-tea-from-menghai
1,https://ratetea.com//review/6667/,Mengku Wild Arbor Assamica Black Tea,9,5,5,94,Yunnan Sourcing,Yunnan Gold,"Shuangjiang, Yunnan, China",Caffeinated,Loose,https://yunnansourcing.com/products/mengku-wild-arbor-assamica-black-tea
1,https://ratetea.com//review/6589/,Purple Needle Black Tea of Jing Mai Mountain,8,5,5,94,Yunnan Sourcing,Yunnan Red,"Lancang, Yunnan, China",Caffeinated,Loose,https://yunnansourcing.com/products/purple-needle-black-tea-of-jing-mai-mountain
1,https://ratetea.com//review/6130/,Kenya Michimikuru Estate FBOPF,9,5,5,94,TeaSource,Black Tea,Kenya,Caffeinated,Loose,https://www.teasource.com/products/kenya-michimikuru-estate-fbopf-black-tea
1,https://ratetea.com//review/5381/,Zaroni Assam Spring Natural Artisanal Black,10,5,5,94,TEAORB,Assam,"Sonitpur, Assam, India",Caffeinated,Loose,https://teaorb.com/product/QVNTUDE2TkFCMQ==/zaroni-assam-spring-natural-artisanal-black-%7C-single-estate
1,https://ratetea.com//review/4892/,Southern Malt,10,4,4,94,teakruthi,Ceylon Black Tea,"Matara, Sri Lanka",Caffeinated,Loose,http://teakruthi.com/collections/black-tea/products/southern-malt
1,https://ratetea.com//review/4703/,Lapsang Souchong Wild Black Tea (Ye Sheng Zheng Shan Xiao Zhong),9,5,5,94,TeaVivre,Lapsang Souchong,"Wuyi, Fujian, China",Caffeinated,Loose,https://www.teavivre.com/lapsang-souchong-wild-black-tea.html
1,https://ratetea.com//review/4661/,Golden Monkey,9,5,5,94,Harney and Sons,Golden Monkey,"Fujian, China",Caffeinated,Loose,https://www.harney.com/products/golden-monkey?variant=29491241542
1,https://ratetea.com//review/4027/,Classic Chinese,9,5,4,94,Joseph Wesley Black Tea,Black Tea,"Zhejiang, China",Caffeinated,Loose,http://josephwesleytea.com/collections/tea/products/span-03-span-classic-chinese
1,https://ratetea.com//review/3957/,Honey Black Tea,9,5,5,94,Health & Tea,Black Tea,Taiwan / Formosa,Caffeinated,Loose,https://www.healthandtea.com/product/honey-black-tea/
1,https://ratetea.com//review/3943/,Spring Keemun,9,5,5,94,Andrews & Dunham Damn Fine Teas,Keemun,China,Caffeinated,Loose,http://www.damnfinetea.com/spring/
1,https://ratetea.com//review/3577/,Ceylon Ruhuna,9,5,5,94,The Tea Lab,Ceylon Black Tea,Sri Lanka / Ceylon,Caffeinated,Loose,/tea/tea-lab/ceylon-ruhuna/7396/
1,https://ratetea.com//review/2504/,Ancient Gan Tong Tea,9,5,5,94,Wild Tea Qi,Green Tea,"Yunnan, China",Caffeinated,Loose,/tea/wild-tea-qi/ancient-gan-tong-tea/6566/
1,https://ratetea.com//review/1673/,Keemun Black Tea – Grade 1,9,5,5,94,TeaVivre,Keemun,"Qimen, Anhui, China",Caffeinated,Loose,https://www.teavivre.com/premium-keemun-black-tea.html
1,https://ratetea.com//review/1667/,Xin Yang Mao Jian Green Tea,9,5,5,94,TeaVivre,Mao Jian Green Tea,"Xinyang, Henan, China",Caffeinated,Loose,https://www.teavivre.com/xinyang-maojian-green-tea.html
1,https://ratetea.com//review/1604/,Huang Shan Mao Feng,10,5,4,94,Teaspring,Mao Feng Green Tea,"Huangshan, Anhui, China",Caffeinated,Loose,http://www.teaspring.com/Huang-Shan-Mao-Feng.asp
1,https://ratetea.com//review/5529/,Sibya Arunachal Summer Organic Factory Black Tea,8,5,5,94,TEAORB,Black Tea,"Arunachal Pradesh, India",Caffeinated,Loose,https://www.teaorb.com/product/QVJTVTE2T0ZCMzc=/sibya-arunachal-summer-organic-factory-black-single-estate
1,https://ratetea.com//review/6727/,"Yunnan ""Black Gold Bi Luo Chun"" Black Tea",9,5,5,93,Yunnan Sourcing,Yunnan Red,"Simao, Yunnan, China",Caffeinated,Loose,https://yunnansourcing.com/products/yunnan-black-gold-bi-luo-chun-black-tea
